item_id_A,name_A,brand_A,cat_A,rank,score,item_id_B,name_B,brand_B,cat_B
1918720,"Ol' Roy Semi Moist Beef & Cheese Flavor Dog Food, 13.5 lb, 36 Pouches",,Dog Food,3,0.3087,99979,"Better Dog Food, Gourmet, Prime Beef Recipe, Semi-Moist, Kibble",Better,Dog
1920071,"Mr & Mrs T Strawberry Daiquiri Margarita Cocktail Mix, 1 L, Plastic Bottle, Shelf Stable",,Cocktail Mixers,1,0.5511,103669,"Master of Mixes Mixer, Strawberry Daiquiri/Margarita",Master of Mixes,Cocktail Mixes
1920071,"Mr & Mrs T Strawberry Daiquiri Margarita Cocktail Mix, 1 L, Plastic Bottle, Shelf Stable",,Cocktail Mixers,2,0.4494,97438,"Tres Agaves Margarita/Daiquiri Mix, Organic, Strawberry",Tres Agaves,Cocktail Mixes
1920071,"Mr & Mrs T Strawberry Daiquiri Margarita Cocktail Mix, 1 L, Plastic Bottle, Shelf Stable",,Cocktail Mixers,3,0.4341,1089770,Daily's Strawberry Daiquiri Frozen Cocktail Single Pouch,Daily's,Flavored Malt Beverages
1949062,"(8 pack) Great Value Organic Whole Kernel Corn, 15 oz, Can",,,1,0.5878,96026,Wegmans Organic Whole Kernel Corn,Wegmans,Canned Vegetables
1949062,"(8 pack) Great Value Organic Whole Kernel Corn, 15 oz, Can",,,2,0.4462,93306,Wegmans Frozen Whole Kernel Corn,Wegmans,Traditional
1949062,"(8 pack) Great Value Organic Whole Kernel Corn, 15 oz, Can",,,3,0.4164,95435,Wegmans Crisp N Sweet Whole Kernel Corn,Wegmans,Canned Vegetables
1930324,"Great Value Garden Rotini Pasta, 16 oz",,,1,0.4839,95464,Wegmans Rotini Pasta,Wegmans,Pasta
1930324,"Great Value Garden Rotini Pasta, 16 oz",,,2,0.4318,96313,Barilla Rotini Pasta,Barilla,Pasta
1930324,"Great Value Garden Rotini Pasta, 16 oz",,,3,0.4178,96039,Barilla Protein+ Rotini Pasta,Barilla,Pasta
1928897,"Great Value Stack Attack Barbecue Flavored Potato Crisps, 5.5 oz",,Great Value Snacks,1,0.4805,952450,Lay's Baked Not Fried Barbecue Flavored Potato Crisps,Lay's,Chips
1928897,"Great Value Stack Attack Barbecue Flavored Potato Crisps, 5.5 oz",,Great Value Snacks,2,0.427,97702,Lay's Barbecue Flavored Potato Chips Party Size,Lay's,Chips
1928897,"Great Value Stack Attack Barbecue Flavored Potato Crisps, 5.5 oz",,Great Value Snacks,3,0.4229,103394,Wegmans BBQ Barbecue Flavored Potato Chips,Wegmans,Chips
2242670,"Better Homes & Gardens Canister Pack of 4, Flip-Tite® Square Food Storage Container Set, A Practical Choice for Pantry Organization and Food Storage",Better Homes & Gardens,Kitchen Storage & Organization,1,0.4427,114376,Wegmans Square Food Storage Container,Wegmans,Food Storage & Lunch Kits
2242670,"Better Homes & Gardens Canister Pack of 4, Flip-Tite® Square Food Storage Container Set, A Practical Choice for Pantry Organization and Food Storage",Better Homes & Gardens,Kitchen Storage & Organization,2,0.4427,114371,Wegmans Square Food Storage Container,Wegmans,Food Storage & Lunch Kits
2242670,"Better Homes & Gardens Canister Pack of 4, Flip-Tite® Square Food Storage Container Set, A Practical Choice for Pantry Organization and Food Storage",Better Homes & Gardens,Kitchen Storage & Organization,3,0.4427,114326,Wegmans Square Food Storage Container,Wegmans,Food Storage & Lunch Kits
2382917,"WELLlife COVID-19 Antigen Home Test, Covid Test Results in 10 Mins FDA Cleared Covid Home Test, 5 Tests per Kitbox with Holder",,Home Health Tests,1,0.5777,110677,FaStep Covid-19 Self-Test Antigen Pen Home Test,FaStep,Diabetic & Home Health Care
2382917,"WELLlife COVID-19 Antigen Home Test, Covid Test Results in 10 Mins FDA Cleared Covid Home Test, 5 Tests per Kitbox with Holder",,Home Health Tests,2,0.413,948428,"Speedy Swab Antigen Self-Test, Rapid COVID-19 + Flu A&B, Ages 2 and Up",Speedy Swab,Diabetic & Home Health Care
2382917,"WELLlife COVID-19 Antigen Home Test, Covid Test Results in 10 Mins FDA Cleared Covid Home Test, 5 Tests per Kitbox with Holder",,Home Health Tests,3,0.4129,111662,"Genabio Self-Test Kit, Rapid, Covid-19",Genabio,Diabetic & Home Health Care
1917994,"Spring Valley Vitamin E Dietary Supplement Softgels for Heart Health, 180 mg, 200 Count Twin Pack",,,1,0.4008,106448,"TopCare Health Vitamin E, 180 mg, Softgels",TopCare,Vitamins and Supplements
1917994,"Spring Valley Vitamin E Dietary Supplement Softgels for Heart Health, 180 mg, 200 Count Twin Pack",,,2,0.3357,107726,"Wegmans Organic Vitamin D Dietary Supplement, 50 mcg Gummies",Wegmans,Vitamins and Supplements
1917994,"Spring Valley Vitamin E Dietary Supplement Softgels for Heart Health, 180 mg, 200 Count Twin Pack",,,3,0.3141,2139129,"Wegmans Vitamin D3 Adult Vitamins, Dietary Supplement",Wegmans,Vitamins and Supplements
