block,item_id_A,name_A,brand_A,size_A,item_id_B,name_B,brand_B,size_B,score,token_jaccard,block_cols
the ginger people|weight:6.7,2065565,"The Ginger People Organic Minced, 6.7 Oz",The Ginger People,,98845,"The Ginger People Minced Ginger, Organic",The Ginger People,6.7 ounce,95.0,0.8333,brand_norm+size_bucket
ghirardelli|weight:4,2258477,"Ghirardelli White Chocolate Baking Bar, 4 oz",Ghirardelli,4 oz,105575,"Ghirardelli Baking Bar, White Chocolate",Ghirardelli,4 ounce,95.0,0.8333,brand_norm+size_bucket
biena|weight:5,2196782,"Biena Rockin' Ranch Chickpea Snacks, 5 oz",Biena,,1091835,"Biena Chickpea Snacks, Rockin' Ranch",Biena,5 ounce,95.0,0.8333,brand_norm+size_bucket
brach s|weight:10,2111217,Brach's Tiny Conversation Hearts Candy 10oz,Brach's,,1087295,"Brach's Candy, Conversation Hearts, Tiny",Brach's,10 ounce,95.0,0.8333,brand_norm+size_bucket
serenity kids|weight:1.5,2124271,"Serenity Kids Organic Grain Free Puffs, Cheddar & Cauliflower Spinach, 1.5 oz (42 g)",Serenity Kids,,950493,Serenity Kids Organic Grain Free Cheddar & Cauliflower Spinach Puffs,Serenity Kids,1.5 ounce,95.0,0.8333,brand_norm+size_bucket
secret|weight:3.5,2064293,"Secret Women's Whole Body Deodorant Aluminum Free Spray, Peach & Vanilla 3.5oz",Secret,,950673,Secret Whole Body Aluminum Free Deodorant Spray Peach & Vanilla,Secret,3.5 ounce,95.0,0.8333,brand_norm+size_bucket
russell stover|weight:10,2194278,"Russell Stover Valentine's Day Red Foil Heart Assorted Milk & Dark Chocolate Candy Gift Box, 10 oz.",Russell Stover,Width: 10.85 in / Height: 10.9 in / Depth: 1.1 in / Weight: 10 oz,1086902,Russell Stover Valentine's Day Red Foil Heart Assorted Milk & Dark Chocolate Gift Box,Russell Stover,10 ounce,95.0,0.8235,brand_norm+size_bucket
whitman s|weight:10,2194415,"Whitman's Sampler Valentine's Day Red Floral Heart Assorted Milk & Dark Chocolate Candy Gift Box, 10.3 oz.",Whitman's,Width: 10.85 in / Height: 10.9 in / Depth: 1.1 in / Weight: 10.3 oz,2136662,Whitman's Valentine's Day Red Floral Heart Assorted Milk & Dark Chocolate Candy Gift Box,Whitman's,10.3 ounce,95.0,0.8235,brand_norm+size_bucket
pitaya foods|volume:8,2077811,"Pitaya Foods Blue Coconut and Pineapple Swirl Smoothie Bowl, 8 fl oz",Pitaya Foods,8 floz,1884030,Pitaya Foods Swirl Blue Coconut & Pineapple Smoothie Bowl,Pitaya Foods,8 fl. oz.,95.0,0.8182,brand_norm+size_bucket
maybelline|volume:3.4,2204843,"Maybelline Facestudio Lasting Fix Makeup Setting Spray, Matte Finish, 3.4 fl oz",Maybelline,,950462,"Maybelline Facestudio Lasting Fix  Makeup Setting Spray, Matte Finish",Maybelline,3.4 fl. oz.,95.0,0.8182,brand_norm+size_bucket
maybelline|volume:0.2,2208543,"Maybelline Instant Age Rewind Instant Eraser Multi Use Concealer, 115, 0.2 fl oz",Maybelline,0.2 fl oz,110878,Maybelline Instant Age Rewind Instant Eraser Multi-Use Concealer 115,Maybelline,0.2 fl. oz.,95.0,0.8182,brand_norm+size_bucket
colgate|weight:6,600314,"Colgate 6 Oz. Baking Soda & Peroxide Whitening Frosty Mint Toothpaste, 2 Pack",Colgate,,114678,"Colgate Baking Soda and Peroxide Whitening Toothpaste, Frosty Mint",Colgate,6 ounce,95.0,0.8182,brand_norm+size_bucket
maybelline|volume:0.2,2227631,"Maybelline Instant Age Rewind Instant Eraser Multi Use Concealer, 120, 0.2 fl oz",Maybelline,0.2 fl oz,106349,Maybelline Instant Age Rewind Instant Eraser Multi-Use Concealer 120,Maybelline,0.2 fl. oz.,95.0,0.8182,brand_norm+size_bucket
oxiclean|count:24,2120992,"Oxiclean Odor Blasters Odor And Laundry Stain Remover Power Paks, 24 Ct",OxiClean,,949191,OxiClean Odor Blasters Power Paks Laundry Odor & Stain Remover,OxiClean,24 ct.,95.0,0.8182,brand_norm+size_bucket
poo pourri|volume:2,2120479,Poo-Pourri Before-You-Go Toilet Spray Original Citrus -- 2 fl oz,Poo-Pourri,2 fl oz,115569,Poo-Pourri Before-You-Go Original Citrus Toilet Spray,Poo-Pourri,2 fl. oz.,95.0,0.8182,brand_norm+size_bucket
ben s original|weight:6.2,361868,"BEN'S ORIGINAL Long Grain Rice and Wild Rice, Fast Cook Rice, 6.2 OZ Box",Ben's Original,,98910,"Ben's Original Long Grain & Wild Rice, Fast Cook",Ben's Original,6.2 ounce,95.0,0.8182,brand_norm+size_bucket
sour patch kids|weight:3.1,2053374,"SOUR PATCH KIDS Red & Green Soft & Chewy Holiday Candy, 3.1 oz",Sour Patch Kids,,1084609,Sour Patch Kids Green & Red Soft & Chewy Candy,Sour Patch Kids,3.1 ounce,95.0,0.8182,brand_norm+size_bucket
dropps|count:40,2092049,"Dropps Laundry Free and Clear Detergent Pods, Biobased, Unscented, 40 Ct",Dropps,40 ct,951117,Dropps Biobased Free & Clear Laundry Detergent Pods - Unscented,Dropps,40 ct.,95.0,0.8182,brand_norm+size_bucket
russell stover|weight:6.2,2076934,"RUSSELL STOVER Christmas Sugar Free Assorted Chocolate Candy Gift Box, 6.2 oz.",Russell Stover,Width: 11.5 in / Height: 5.375 in / Depth: 1.063 in / Weight: 6.2 oz,1087111,Russell Stover Sugar Free Assorted Christmas Candy Gift Box,Russell Stover,6.2 ounce,95.0,0.8182,brand_norm+size_bucket
once upon a farm|weight:1,2118916,"(2 pack) Once Upon a Farm Organic Coconut Melts, Mango Ba-nilla, 1oz",Once Upon a Farm,,951261,"Once Upon a Farm Organic Coconut Melts, Mango Ba-nilla",Once Upon a Farm,1 ounce,95.0,0.8182,brand_norm+size_bucket
sukhi s|weight:10,2067230,Sukhi's Indian Potato & Pea Samosa Frozen Appetizer Vegetarian Snack 10oz,Sukhi's,,94923,Sukhi's Indian Potato & Pea Samosa Frozen Appetizer Snack,Sukhi's,10 ounce,95.0,0.8182,brand_norm+size_bucket
vicks|weight:1.7,2056958,"Vicks VapoMist Saline, Gentle Saline Mist With Soothing Vicks Vapors, Non- Medicated, 1.7 oz",Vicks,,1722522,"Vicks Saline Gentle Mist With Soothing Vapors, Non- Medicated",Vicks,1.7 ounce,95.0,0.8182,brand_norm+size_bucket
violife|weight:8,2197754,"Violife Just Like Cream Cheese, Dairy-Free Vegan Block 8 oz (Refrigerated)",Violife,8 oz,955030,"Violife Just Like Cream Cheese, Dairy-Free Vegan Block",Violife,8 ounce,95.0,0.8182,brand_norm+size_bucket
marie callender s|weight:12,2070270,"Marie Callender's Classic Spaghetti and Meatballs Bowl, Frozen Meal, 12.4 oz (Frozen)",Marie Callender's,,94129,"Marie Callender's Classic Spaghetti and Meatballs Bowl, Frozen Meal",Marie Callender's,12.4 ounce,95.0,0.8182,brand_norm+size_bucket
sensodyne|weight:3.4,2063364,"Sensodyne Repair and Protect Sensitive Toothpaste, Extra Fresh, 3.4 Oz",Sensodyne,,113775,"SENSODYNE Repair and Protect Extra Fresh Toothpaste, Sensitive Toothpaste for Sensitive Teeth, 3.4 oz",SENSODYNE,3.4 ounce,95.0,0.8182,brand_norm+size_bucket
old spice|weight:2.2,2195206,"Old Spice Lightweight Cream for Men, Healthy and Strong with Vitamin E and Biotin, Men's Hair Styling Lightweight Cream, Low-Medium Hold, Matte Finish, 2.22 oz",Old Spice,,2159341,"Old Spice Lightweight Cream for Men, Healthy & Strong with Vitamin E & Biotin, Low-Medium Hold, Matte Finish",Old Spice,2.22 ounce,95.0,0.8095,brand_norm+size_bucket
covergirl|weight:0.63,2204697,"Covergirl Clean Invisible Loose Powder, 110 Translucent Light, 0.63 oz",COVERGIRL,,111907,"CoverGirl Loose Powder, Clean Invisible, Translucent Light 110",CoverGirl,0.63 ounce,95.0,0.8,brand_norm+size_bucket
sour patch kids|weight:3.5,2087409,"SOUR PATCH KIDS Extreme Sour Soft & Chewy Candy, 3.5 oz Box",Sour Patch Kids,,1084702,"Sour Patch Kids Candy, Soft & Chewy, Extreme Sour",Sour Patch Kids,3.5 ounce,95.0,0.8,brand_norm+size_bucket
rohto|volume:0.4,2268972,"(2 pack) Rohto All-In-One, Redness Reliever, Cooling Eye Drops, Multi-Symptom Relief, 0.4 fl oz",Rohto,,1090680,"Rohto All-In-One, Redness Reliever, Cooling Eye Drops, Multi-Symptom Relief",Rohto,0.4 fl. oz.,95.0,0.8,brand_norm+size_bucket
sun bum|volume:6,2267394,"Sun Bum Kids Clear Sunscreen Lotion, SPF 50, 6 fl oz",Sun Bum,,950921,"Sun Bum Sunscreen Lotion, Clear, Kids, SPF 50",Sun Bum,6 fl. oz.,95.0,0.8,brand_norm+size_bucket
illy|weight:8.8,2092994,"illy Ground Drip Coffee, Intenso Bold Roast, 100% Arabica, 8.8 oz",illy,,96204,"Illy Coffee, 100% Arabica, Ground, Bold Roast, Intenso",Illy,8.8 ounce,95.0,0.8,brand_norm+size_bucket
cantu|weight:16,2204672,"Cantu Shea Butter Leave-In Conditioning Repair Cream, 16 oz",Cantu,16 oz,114181,"Cantu Conditioning Repair Cream, Leave-In, Shea Butter",Cantu,16 ounce,95.0,0.8,brand_norm+size_bucket
vanity fair|count:200,2267558,Vanity Fair Everyday Disposable White Napkins (200 Count),Vanity Fair,,106052,"Vanity Fair Everyday Casual Napkins, Disposable White Paper Napkins, 200 Count",Vanity Fair,200 ct.,95.0,0.8,brand_norm+size_bucket
lily s|weight:2.8,2200152,Lily's - Extra Dark Chocolate Bar 70% Cocoa Salted Almond - 2.8 oz.,Lily's,,105541,"Lily's Chocolate, Extra Dark, Salted Almond, 70% Cocoa",Lily's,2.8 ounce,95.0,0.8,brand_norm+size_bucket
russell stover|weight:3,2220077,"RUSSELL STOVER Easter Bunny Solid Milk Chocolate Candy Rabbit, 3 oz.",Russell Stover,,105643,Russell Stover Easter Solid Milk Chocolate Candy Rabbit,Russell Stover,3 ounce,95.0,0.8,brand_norm+size_bucket
cheetos|weight:8.5,2068972,"Simply Cheetos White Cheddar Crunchy Cheese Flavored Snacks, 8.5 oz Bag",Cheetos,8.5 oz,1091809,"Cheetos Simply Cheese Flavored Snacks, Crunchy, White Cheddar Flavored",Cheetos,8.5 ounce,95.0,0.8,brand_norm+size_bucket
living proof|volume:8,373473,Living Proof Full Conditioner 8 Oz,Living Proof,8 fl oz,108238,"Living Proof Conditioner, Full",Living Proof,8 fl. oz.,95.0,0.8,brand_norm+size_bucket
hershey s|weight:20,1927199,"Hershey's Milk Chocolate Snack Size Candy, Jumbo Bag 19.8 oz",Hershey's,,1726441,Hershey's Milk Chocolate Snack Size Jumbo Bag Candy,Hershey's,19.8 ounce,95.0,0.8,brand_norm+size_bucket
russell stover|weight:2.4,2074757,"RUSSELL STOVER Sugar Free Pecan Delight Chocolate Candy, 2.4 oz. bag",Russell Stover,,1090307,Russell Stover Sugar Free Pecan Delight Chocolate Candy,Russell Stover,2.4 ounce,95.0,0.8,brand_norm+size_bucket
cetaphil|volume:7.8,2124335,"Cetaphil Baby Wash & Shampoo, Calendula, 7.8 fl oz",Cetaphil,,113108,"Cetaphil Baby Wash & Shampoo with Organic Calendula, 7.8 fl oz",Cetaphil,7.8 fl. oz.,95.0,0.8,brand_norm+size_bucket
compound w|weight:0.25,366052,"Compound W Maximum Strength Fast Acting Gel Wart Remover, 0.25 oz",Compound W,,112926,"Compound W Wart Remover, Fast Acting, Maximum Strength, Gel",Compound W,0.25 ounce,95.0,0.8,brand_norm+size_bucket
mucinex|count:24,1919944,"Mucinex D Maximum Strength Expectorant and Nasal Decongestant Tablets, 24 Count",Mucinex,,106565,"Mucinex D Expectorant & Nasal Decongestant, Maximum Strength, Tablets",Mucinex,24 ct.,95.0,0.8,brand_norm+size_bucket
hershey s|weight:9,1927235,"HERSHEY'S KISSES CINNAMON TOAST CRUNCH Flavored Candy Share Pack, 9 oz",Hershey's,,1086974,"Hershey's Kisses Candy, Cinnamon Toast Crunch, Share Pack",Hershey's,9 ounce,95.0,0.8,brand_norm+size_bucket
kettle brand|weight:6.5,2117957,"Kettle Brand Potato Chips, Air Fried Himalayan Salt Kettle Chips, 6.5 oz Bag",Kettle Brand,,101380,Kettle Brand Air Fried Himalayan Salt Potato Chips,Kettle Brand,6.5 ounce,95.0,0.8,brand_norm+size_bucket
arm and hammer|weight:6,376211,Arm & Hammer Complete Care Toothpaste Fresh Mint 6 oz Each,ARM & HAMMER,,113379,"Arm & Hammer Complete Care Toothpaste, Fresh Mint",Arm & Hammer,6 ounce,95.0,0.8,brand_norm+size_bucket
wilton|volume:1.2,369781,Wilton Gel Food Colors .3oz,Wilton,1.2 fl oz,101730,Wilton Gel Food Colors,Wilton,1.2 fl. oz.,95.0,0.8,brand_norm+size_bucket
spanglish asadero|weight:4.5,2104757,"Spanglish Asadero Taco Seasoning, 4.5oz",Spanglish Asadero,4.5 oz; 128 g,1725337,Spanglish Asadero Taco Seasoning,Spanglish Asadero,4.5 ounce,95.0,0.8,brand_norm+size_bucket
quaker|weight:6.5,379347,"Quaker Rice Cakes, Caramel, 6.5 Oz",Quaker,,105710,"Quaker Rice Cakes, Caramel",Quaker,6.5 ounce,95.0,0.8,brand_norm+size_bucket
jimmy dean|weight:17,2068137,"Jimmy Dean Snack Size Biscuit Breakfast Sandwiches with Hot and Spicy Sausage, Frozen, 10 Count",Jimmy Dean,17 OZ,94883,"Jimmy Dean Snack Size Biscuit Breakfast Sandwiches with Sausage, Frozen, 10 Count",Jimmy Dean,17 ounce,95.0,0.8,brand_norm+size_bucket
wholesome|weight:32,375238,Wholesome Organic Cane Sugar 2 lbs,Wholesome,2 lbs,99515,"Wholesome Cane Sugar, Organic",Wholesome,32 ounce,95.0,0.8,brand_norm+size_bucket
annie s|weight:4.9,2117240,"(3 pack) Annie's Gluten Free Chewy Granola Bars, Birthday Cake, 5 Bars, 4.9 oz",Annie's,4.9 oz,953804,"Annie's Granola Bars, Gluten Free, Birthday Cake, Chewy",Annie's,4.9 ounce,95.0,0.8,brand_norm+size_bucket
everyone|volume:13,2113075,Lavender + Coconut Hand Soap,Everyone,12.75 fl oz,1953534,"Everyone Hand Soap, Lavender + Coconut",Everyone,12.75 fl. oz.,95.0,0.8,brand_norm+size_bucket
illy|weight:8.8,2093513,"illy Ground Espresso Coffee, Intenso Bold Roast, 100% Arabica, 8.8 oz",illy,,96204,"Illy Coffee, 100% Arabica, Ground, Bold Roast, Intenso",Illy,8.8 ounce,95.0,0.8,brand_norm+size_bucket
tide|volume:92,2258976,"Tide Liquid Laundry Detergent, Ultra Febreze, Spring and Renewal Scent, 92 fl oz, 65 Loads",Tide,,1891248,"Tide Ultra Febreze Liquid Laundry Detergent, Spring and Renewal scent, 65 Loads",Tide,92 fl. oz.,95.0,0.8,brand_norm+size_bucket
kraft|weight:8,2070358,"Kraft Mexican Style Cheddar Jack Finely Shredded Cheese, 8 oz Bag",Kraft,,1087549,"Kraft Finely Shredded Cheese, Cheddar Jack, Mexican Style",Kraft,8 ounce,95.0,0.8,brand_norm+size_bucket
streit s|weight:4.5,2202950,"Streit's Matzo Ball Mix, 4.5 oz",Streit's,,952412,Streit's Matzo Ball Mix,Streit's,4.5 ounce,95.0,0.8,brand_norm+size_bucket
russell stover|weight:7.8,2203713,"RUSSELL STOVER Easter Marshmallow Milk Chocolate Candy Easter Eggs 6 pack, 7.8 oz.",Russell Stover,,101243,Russell Stover Easter Marshmallow Milk Chocolate Candy Eggs,Russell Stover,7.8 ounce,95.0,0.8,brand_norm+size_bucket
applegate|weight:10,2387679,Applegate Organics The Great Organic Uncured Beef Hot Dog - 10oz,Applegate,,93282,Applegate Organics Great Organic Beef Hot Dog Uncured,Applegate,10 ounce,95.0,0.8,brand_norm+size_bucket
cetaphil|volume:7.8,2124339,"Cetaphil Baby Wash & Shampoo, Calendula, 7.8 fl oz",Cetaphil,,113108,"Cetaphil Baby Wash & Shampoo with Organic Calendula, 7.8 fl oz",Cetaphil,7.8 fl. oz.,95.0,0.8,brand_norm+size_bucket
old spice|weight:2.2,2195208,"Old Spice Classic Pomade for Men, Healthy and Strong with Vitamin E and Biotin, Men's Hair Styling Pomade, Medium Hold, Matte Finish, 2.22 oz",Old Spice,,2156681,"Old Spice Classic Pomade for Men, Healthy & Strong with Vitamin E & Biotin, Medium Hold, Matte Finish",Old Spice,2.22 ounce,95.0,0.8,brand_norm+size_bucket
chef boyardee|weight:7.5,2202870,"(4 pack) Chef Boyardee Beefaroni, Pasta in Tomato and Meat Sauce, Microwavable Meal, 7.5 oz. Bowl",Chef Boyardee,,97268,"Chef Boyardee Beefaroni, Pasta in Tomato and Meat Sauce, Microwavable Meal",Chef Boyardee,7.5 ounce,95.0,0.7857,brand_norm+size_bucket
lume|weight:2.6,2118292,(2 pack) Lume Whole Body Women’s Deodorant - Smooth Solid Stick - Aluminum Free - Soft Powder - 2.6oz,Lume,,948267,"Lume Whole Body Women’s Deodorant Solid Stick, Aluminum Free, Soft Powder",Lume,2.6 ounce,95.0,0.7857,brand_norm+size_bucket
creme of nature|volume:8.4,2204703,"Creme of Nature Argan Oil Strength & Shine Leave-In Conditioner, 8.45 fl oz",Creme of Nature,,115542,"Creme of Nature Conditioner, Leave-In, Strength & Shine, Argan Oil",Creme of Nature,8.4 fl. oz.,95.0,0.7857,brand_norm+size_bucket
violife|weight:8,2068752,"Violife Just like Mexican Style Shreds Shredded Cheese, Dairy Free Vegan, 8 oz Plastic Pack",Violife,,92534,"Violife Just like Mexican Style Shreds Shredded Cheese, Dairy-Free Vegan",Violife,8 ounce,95.0,0.7857,brand_norm+size_bucket
not your mother s|volume:6,2204759,"Not Your Mother's Curl Talk Defining Curl Cream, 6 fl oz",Not Your Mother's,6 fl oz,107925,Not Your Mother's Curl Talk Defining Cream,Not Your Mother's,6 fl. oz.,95.0,0.7778,brand_norm+size_bucket
ogx|volume:13,2204808,Extra Strength Damage Remedy + Coconut Oil Shampoo,OGX,385 mL,112774,Ogx Extra Strength Damage Remedy Coconut Miracle Oil Shampoo,Ogx,13 fl. oz.,95.0,0.7778,brand_norm+size_bucket
sour patch kids|weight:3.5,2087406,"SOUR PATCH KIDS Tropical Soft & Chewy Candy, 3.5 oz",Sour Patch Kids,,104266,"Sour Patch Kids Candy, Soft & Chewy",Sour Patch Kids,3.5 ounce,95.0,0.7778,brand_norm+size_bucket
angie s boomchickapop|weight:4.5,2202146,"Angie's BOOMCHICKAPOP White Chocolate Peppermint Flavored Kettle Corn, 4.5 oz.",Angie's BOOMCHICKAPOP,,2026629,"Angie's Boomchickapop Kettle Corn, White Chocolate Peppermint",Angie's Boomchickapop,4.5 ounce,95.0,0.7778,brand_norm+size_bucket
roc|volume:0.5,2207955,"RoC Multi Correxion Hydrate + Plump Eye Cream, 0.5 fl oz",RoC,,110711,RoC Multi Correxion Hydrate + Plump Eye Cream,RoC,0.5 fl. oz.,95.0,0.7778,brand_norm+size_bucket
pillsbury|weight:14,2069913,"Pillsbury Banana Quick Bread & Muffin Mix, 14 oz",Pillsbury,,98431,"Pillsbury Quick Bread & Muffin Mix, Banana",Pillsbury,14 ounce,95.0,0.7778,brand_norm+size_bucket
cerave|count:25,2204856,"CeraVe Hydrating Makeup Removing Plant-Based Wipes, 25 Count",CeraVe,,111224,"CeraVe Wipes, Plant-Based, Makeup Removing, Hydrating",CeraVe,25 ct.,95.0,0.7778,brand_norm+size_bucket
genova|weight:5,2257800,(4 pack) Genova Premium Albacore Tuna in Olive Oil 5 oz,Genova,,1883971,Genova Premium Albacore Tuna in Olive Oil,Genova,5 ounce,95.0,0.7778,brand_norm+size_bucket
catalina crunch|weight:9,2200234,"(2 pack) Catalina Crunch Protein Cereal Chocolate Peanut Butter, 9 oz",Catalina Crunch,9 oz,100643,"Catalina Crunch Cereal, Protein, Chocolate Peanut Butter",Catalina Crunch,9 ounce,95.0,0.7778,brand_norm+size_bucket
covergirl|volume:1,2208418,"COVERGIRL TruBlend Liquid Foundation, Sand Beige, M4, 1 fl oz",COVERGIRL,,113427,"CoverGirl TruBlend Liquid Foundation, M4 Sand Beige",CoverGirl,1 fl. oz.,95.0,0.7778,brand_norm+size_bucket
snyder s of hanover|weight:14,2102923,"Snyder's of Hanover Gluten Free Pretzel Sticks, 14 oz",Snyder's of Hanover,,103603,Snyder's of Hanover Gluten Free Pretzel Sticks,Snyder's of Hanover,14 ounce,95.0,0.7778,brand_norm+size_bucket
covergirl|volume:0.44,2209001,"COVERGIRL Clump Crusher Mascara Very Black 800, 13 ML",Covergirl,,113532,"CoverGirl Clump Crusher Mascara, Very Black 800",CoverGirl,0.44 fl. oz.,95.0,0.7778,brand_norm+size_bucket
pantene|weight:7,2208579,"Pantene Pro-V Strong Hold Level 4 Hairspray, 7 oz",Pantene,,110593,"Pantene Pro-V Strong Hold Alcohol Free* Level 4 Hairspray, 7.0 oz",Pantene,7 ounce,95.0,0.7778,brand_norm+size_bucket
wedderspoon|weight:8.8,2093918,"Wedderspoon Raw Multifloral Manuka KFactor 12 Honey, 8.8 oz Jar",Wedderspoon,8.8 oz,104454,"Wedderspoon Manuka Honey, Raw, Multifloral, Kfactor 12",Wedderspoon,8.8 ounce,95.0,0.7778,brand_norm+size_bucket
catalina crunch|weight:5.2,2196723,"Catalina Crunch Protein Snack Mix Honey Mustard, 5.25 oz",Catalina Crunch,5.25 oz,2017812,Catalina Crunch Protein Honey Mustard Snack Mix,Catalina Crunch,5.25 ounce,95.0,0.7778,brand_norm+size_bucket
mary s gone crackers|weight:5,362202,"Mary's Gone Crackers Organic Sea Salt Real Thin Crackers, 5 oz",Mary's Gone Crackers®,,105104,"Mary's Gone Crackers Crackers, Real Thin, Sea Salt",Mary's Gone Crackers,5 ounce,95.0,0.7778,brand_norm+size_bucket
bachan s|weight:16,2102806,Bachan's - Hot and Spicy (2 pack) Original Japanese Barbecue Sauce,Bachan's,16 oz,98791,"Bachan's Barbecue Sauce, Japanese, Hot and Spicy",Bachan's,16 ounce,95.0,0.7778,brand_norm+size_bucket
not your mother s|volume:8,2230923,"Not Your Mother's Curl Talk Refreshing Curl Foam, 8 fl oz",Not Your Mother's,8 fl oz,112395,Not Your Mother's Curl Talk Refreshing Foam,Not Your Mother's,8 fl. oz.,95.0,0.7778,brand_norm+size_bucket
aura cacia|volume:8,368322,Aura Cacia Relaxing Lavender Aromatherapy Body Oil 8 fl. oz.,Aura Cacia,,948165,"Aura Cacia Body Oil, Aromatherapy, Lavender, Relaxing",Aura Cacia,8 fl. oz.,95.0,0.7778,brand_norm+size_bucket
werther s original|weight:9.4,2077437,Werther's Original Harvest Caramel Apple Filled Hard Candies 9.4 oz,Werther's Original,,1087128,Werther's Original Caramel Apple Filled Hard Candies,Werther's Original,9.4 ounce,95.0,0.7778,brand_norm+size_bucket
pepperidge farm|weight:16,2123576,"Pepperidge Farm Light Style Soft Wheat Bread, 1 Lb Bag",Pepperidge Farm,,91421,"Pepperidge Farm Light Style Bread, Soft Wheat",Pepperidge Farm,16 ounce,95.0,0.7778,brand_norm+size_bucket
renuzit|weight:7,283473,"Renuzit Gel Air Freshener, Blissful Apple & Cinnamon, 7.0 Ounce",Renuzit,7 oz,950747,"Renuzit Gel Air Freshener, Apple & Cinnamon",Renuzit,7 ounce,95.0,0.7778,brand_norm+size_bucket
teddie|weight:16,2114749,"Teddie All Natural Smooth Unsalted Peanut Butter, 16 oz",Teddie,16 OZ,1089291,Teddie All Natural Smooth Unsalted Peanut Butter,Teddie,16 ounce,95.0,0.7778,brand_norm+size_bucket
edge|weight:14,1937870,"Edge Sensitive Skin Shave Gel Twin Pack, 14 Oz.",EDGE,,114298,"Edge Shave Gel, Sensitive Skin, Twin Pack",Edge,14 ounce,95.0,0.7778,brand_norm+size_bucket
tate s bake shop|weight:5.5,2196793,"(2 pack) Tate's Bake Shop Tiny Chocolate Chip Cookies, 5.5 oz",Tate's Bake Shop,,953925,Tate's Bake Shop Chocolate Chip Tiny Cookies,Tate's Bake Shop,5.5 ounce,95.0,0.7778,brand_norm+size_bucket
crest|weight:4.3,2274074,(2 pack) Crest Pro-Health Max Cavity Protection 4.3oz Toothpaste,Crest,4.3 oz,951244,Crest Pro Health Max Cavity Protection Toothpaste,Crest,4.3 ounce,95.0,0.7778,brand_norm+size_bucket
healthy choice|weight:15,2260244,"Healthy Choice Chicken & Dumplings Canned Soup, 15 oz.",Healthy Choice,,1086574,Healthy Choice Chicken & Dumplings Canned Soup,Healthy Choice,15 ounce,95.0,0.7778,brand_norm+size_bucket
simply asia|weight:8.5,2067512,"Simply Asia Spicy Kung Pao Noodle Bowl, 8.5 oz Cup",Simply Asia,,103874,Simply Asia Spicy Kung Pao Noodle Bowl,Simply Asia,8.5 ounce,95.0,0.7778,brand_norm+size_bucket
bounce|count:240,2050431,"Bounce Dryer Sheets, Free & Gentle, Unscented, 240 Count",Bounce,,109708,"Bounce Free & Gentle Dryer Sheets, Unscented",Bounce,240 ct.,95.0,0.7778,brand_norm+size_bucket
seventh generation|weight:70,2076528,"Seventh Generation Dishwasher Detergent Gel, Lemon Scent, 70 oz",Seventh Generation,,113517,Seventh Generation Lemon Scent Dishwasher Detergent Gel,Seventh Generation,70 ounce,95.0,0.7778,brand_norm+size_bucket
secret|weight:2.6,2063355,"Secret Women's Invisible Solid Antiperspirant and Deodorant, Unscented, 2.6 oz",Secret,,949992,"Secret Invisible Solid Antiperspirant and Deodorant, Unscented",Secret,2.6 ounce,95.0,0.7778,brand_norm+size_bucket
violife|weight:8,2127734,"Violife Just like Mozzarella Shreds Shredded Cheese, Dairy-Free Vegan, 8 oz Bag (Refrigerated)",Violife,,93261,"Violife Just Like Mozzarella Shreds Shredded Cheese, Dairy-Free Vegan",Violife,8 ounce,95.0,0.7692,brand_norm+size_bucket
optimum nutrition|weight:63,2215727,"Optimum Nutrition Gold Standard 100% Whey Protein Powder, Vanilla Ice Cream, 3.96 lb",Optimum Nutrition,,1090186,"Optimum Nutrition Gold Standard 100% Whey Protein, Vanilla Ice Cream",Optimum Nutrition,3.96 lb.,95.0,0.7692,brand_norm+size_bucket
celestial seasonings|count:20,2051666,(4 pack) Celestial Seasonings Cinnamon Apple Spice Caffeine-Free Herbal Tea Bags (20 Count),Celestial Seasonings,20 ct,103864,"Celestial Seasonings Herbal Tea, Caffeine Free, Cinnamon Apple Spice, Tea Bags",Celestial Seasonings,20 ct.,95.0,0.7692,brand_norm+size_bucket
plum organics|weight:4,2126968,"(8 pack) Plum Organics® Stage 2 Organic Baby Food Pear, Purple Carrot + Blueberry 4oz Pouch",Plum Organics,,107226,"Plum Organics® Stage 2 Organic Baby Food Pear, Purple Carrot + Blueberry",Plum Organics®,4 ounce,95.0,0.7692,brand_norm+size_bucket
garnier|volume:34,2204497,"Garnier Fructis Pure Clean Purifying Shampoo for All Hair Types, 33.8 fl oz",Garnier,,112390,"Garnier Fructis Pure Clean Purifying Shampoo, for All Hair Types",Garnier,33.8 fl. oz.,95.0,0.7692,brand_norm+size_bucket
pepperidge farm|weight:14,2194061,"Pepperidge Farm Pirouette Cookies, Chocolate Hazelnut Créme Filled Wafers, 13.5 oz Tin",Pepperidge Farm,,103046,Pepperidge Farm Pirouette Crème Filled Wafers Chocolate Hazelnut Cookies,Pepperidge Farm,13.5 ounce,95.0,0.7692,brand_norm+size_bucket
vive organic|volume:2,2258147,"Vive Organic Immunity Boost Shot, Vitamin C, Ginger and Turmeric Wellness Shot, 2 fl oz Bottle",Vive Organic,,92446,"Vive Organic Wellness Shot, Vitamin C, Ginger & Turmeric, Immunity Boost",Vive Organic,2 fl. oz.,95.0,0.7692,brand_norm+size_bucket
